gispropnum,signname,borough,typecategory,subcategory,acres,road_segments
R131,Huguenot Ponds Park,R,Nature Area,Large Park,1.53,1
R136,Hybrid Oak Woods Park,R,Nature Area,Undeveloped,9.763,3
R048,Jones Woods Park,R,Nature Area,Large Park,16.93,12
R042,Kaltenmeier Playground,R,Neighborhood Park,Neighborhood Plgd,1.02,4
R140,King Fisher Park,R,Nature Area,Large Park,23.01,5
R138,Kingdom Pond Park,R,Nature Area,Undeveloped,4.22,1
R013,LaTourette Park & Golf Course,R,Flagship Park,Flagship Park,760.79,130
R161,Laredo Avenue Parcel,R,Nature Area,Undeveloped,2.223,1
R079,Lemon Creek Park,R,Waterfront Facility,Large Park,104.545,52
R027,Long Pond Park,R,Nature Area,Large Park,91.086,14
R142,Mariners Marsh Park,R,Undeveloped,Undeveloped,107.576,1
R076,Markham Playground,R,Jointly Operated Playground,JOP,2.836,3
R112,Meredith Woods,R,Nature Area,Undeveloped,37.064,693
R083,North Shore Esplanade,R,Undeveloped,Undeveloped,0.731,4
R066,North Shore Esplanade,R,Triangle/Plaza,Sitting Area/Triangle/Mall,1.521,6
R078,Northerleigh Park,R,Neighborhood Park,Neighborhood Park,3.955,1
R149,Ocean Breeze Park,R,Nature Area,Large Park,136.568,18
R159,Old Place Creek Park,R,Nature Area,Undeveloped,44.733,14
R162,Olmsted-Beil House Park,R,Historic House Park,Building,2.76,1
R103,Park,R,Strip,Sitting Area/Triangle/Mall,0.006,1
R102,Park,R,Strip,Sitting Area/Triangle/Mall,0.006,1
R075F,Park,R,Strip,STRIP,0.071,6
R075E,Park,R,Strip,Sitting Area/Triangle/Mall,0.113,3
R098,Park,R,Parkway,Neighborhood Park,5.848,3
R038B,Park,R,Nature Area,Neighborhood Park,5.765,1
R017A,Plant Ecology Center and Nursery,R,Buildings/Institutions,Flagship Park,12.247,7
R118,Reed's Basket Willow Swamp Park,R,Nature Area,Flagship Park,52.68328275,30
R065,Richmond Parkway,R,Parkway,Large Park,350.983,1263
R130,Saw Mill Creek Marsh,R,Nature Area,Large Park,181.923,17
R045,Schmul Park,R,Neighborhood Park,Large Park,7.395,1
R145,Seaside Wildlife Nature Park,R,Neighborhood Park,Neighborhood Park,20.907,3
R022,Silver Lake Park,R,Community Park,Large Park,205.977,53
R116,Snug Harbor Cultural Center,R,Historic House Park,Large Park,83.3,37
R104,South Shore Country Club,R,Managed Sites,Large Park,173.994,15
R010,Staats Circle,R,Triangle/Plaza,Sitting Area/Triangle/Mall,0.28,2
R170,Stapleton Esplanade,R,Waterfront Facility,Neighborhood Park,4.605,5
R143,Staten Island Industrial Park,R,Nature Area,Large Park,210.928,104
R139,Tottenville Shore Park,R,Nature Area,Large Park,9.181,4
R059,Von Briesen Park,R,Neighborhood Park,Large Park,13.938,13
R101,Wegener Park,R,Nature Area,Undeveloped,3.464,1
R030,Willowbrook Park,R,Community Park,Flagship Park,214.947,93
R047,Willowbrook Parkway,R,Parkway,EXWY,198.481,952
R031,Wolfe's Pond Park,R,Community Park,Large Park,302.693,97
X148H,Admiral Farragut Playground,X,Playground,Neighborhood Plgd,1.359,2
X179,Al Quiñones Playground,X,Jointly Operated Playground,JOP,1.793,3
X001A,Aqueduct Walk,X,Community Park,Large Park,8.607,31
X001,Aqueduct Walk,X,Community Park,Large Park,4.926,4
X191A,Bicentennial Veterans Memorial Park,X,Neighborhood Park,Large Park,9.395,1
X094,Bridge Park,X,Neighborhood Park,Large Park,7.156,159
X002,Bronx Park,X,Flagship Park,Large Park,718.373,326
X004,Bronx River Parkway,X,Parkway,EXWY,206.717,1365
X183,Bruckner Playground,X,Jointly Operated Playground,JOP,1.053,1
X055,Brust Park,X,Neighborhood Park,Neighborhood Plgd,1.79,6
X007,Castle Hill Park,X,Neighborhood Park,Neighborhood Park,8.834,3
X111,Cedar Playground,X,Neighborhood Park,Neighborhood Plgd,1.8,1
X279,City Island Wetlands,X,Nature Area,Large Park,8.005,2
X008,Claremont Park,X,Community Park,Large Park,38.536,22
X088B,Clason Point Park,X,Community Park,Large Park,14.872,3
X010,Crotona Park,X,Flagship Park,Large Park,127.5,26
X011,Crotona Parkway Malls,X,Mall,Large Park,8.75,47
X084,D'Onofrio Square,X,Triangle/Plaza,Sitting Area/Triangle/Mall,0.38,1
X013,Devoe Park,X,Neighborhood Park,Neighborhood Park,5.44,1
