gispropnum,signname,borough,typecategory,subcategory,acres,road_segments
M092A,Haven Avenue,M,Parkway,Sitting Area/Triangle/Mall,1.38,19
M037,Highbridge Park,M,Community Park,Large Park,130.1,450
M042,Inwood Hill Park,M,Community Park,Large Park,196.398,21
M043,Isham Park,M,Community Park,Large Park,20.132,21
M014,Jackie Robinson Park,M,Neighborhood Park,Large Park,12.772,5
M048,Joan Of Arc Park,M,Neighborhood Park,Neighborhood Park,1.578,4
M045,John Jay Park,M,Community Park,Neighborhood Plgd,3.312,2
M144,John V. Lindsay East River Park,M,Community Park,Large Park,45.88,260
M108A,Louis Cuvillier Park,M,Neighborhood Park,Neighborhood Plgd,2.752,15
M058,Marcus Garvey Park,M,Community Park,Large Park,20.165,6
M203D,Mary O'Connor Playground,M,Playground,Neighborhood Plgd,0.229,1
M056,Morningside Park,M,Community Park,Large Park,29.888,29
M241,Nathan Straus Playground,M,Jointly Operated Playground,JOP,0.851,1
M208B,Park,M,Triangle/Plaza,Neighborhood Plgd,0.059,5
M108B,Park,M,Parkway,Undeveloped,2.13,6
M108J,Park,M,Strip,Undeveloped,0.188,3
M092B,Park,M,Strip,Sitting Area/Triangle/Mall,1.494,17
M060B,Park Avenue Malls,M,Mall,Sitting Area/Triangle/Mall,0.65,13
M060A,Park Avenue Malls,M,Mall,Sitting Area/Triangle/Mall,0.23,1
M060C,Park Avenue Malls,M,Mall,Sitting Area/Triangle/Mall,4.623,40
M141,Percy E. Sutton Playground,M,Neighborhood Park,Neighborhood Plgd,1.635,8
M108N,Peter Detmold Park,M,Neighborhood Park,Sitting Area/Triangle/Mall,0.588,1
M369,Pier 42,M,Waterfront Facility,Pier,7.509,1
M108G,Playground 103 CIII,M,Neighborhood Park,Neighborhood Plgd,1.052,1
M070,Queensboro Oval,M,Recreational Field/Courts,Neighborhood Park,1.239,6
M104,Randall's Island Park,M,Flagship Park,Flagship Park,254.3,268
M140,Recreational Area,M,Community Park,Large Park,23.093,35
M071,Riverside Park,M,Community Park,Flagship Park,253.168,220
M072,Riverside Park,M,Neighborhood Park,Flagship Park,13.35,64
M353,Riverside Park South,M,Community Park,Large Park,71.933,15
M158,Robert Moses Playground,M,Playground,Neighborhood Plgd,1.093,2
M105,Sara D. Roosevelt Park,M,Neighborhood Park,Large Park,7.85,3
M080,Schiff Mall,M,Mall,Sitting Area/Triangle/Mall,0.376,7
M082,Seward Park,M,Neighborhood Park,Neighborhood Plgd,3.361,1
M300,Sherman Creek,M,Neighborhood Park,Neighborhood Park,15.383,2
M077,St. Nicholas Park,M,Neighborhood Park,Large Park,22.74,11
M076,St. Vartan Park,M,Neighborhood Park,Neighborhood Plgd,2.759,1
M192,Stanley Isaacs Playground,M,Neighborhood Park,Neighborhood Plgd,1.227,2
M086,Stuyvesant Square,M,Neighborhood Park,Neighborhood Park,3.928,1
M108P,Sutton Parks,M,Triangle/Plaza,Sitting Area/Triangle/Mall,0.85,13
M108R,Sutton Place Park,M,Neighborhood Park,Neighborhood Park,0.268,2
M005,The Battery,M,Neighborhood Park,Flagship Park,21.88,39
M360,The High Line,M,Community Park,Large Park,6.73,79
M047,Thomas Jefferson Park,M,Community Park,Large Park,15.524,3
M030,Thomas Paine Park,M,Triangle/Plaza,Sitting Area/Triangle/Mall,1.875,4
M088,Tompkins Square Park,M,Neighborhood Park,Large Park,10.502,1
M006,Tribeca Park,M,Triangle/Plaza,Sitting Area/Triangle/Mall,0.32,2
M108F,Triboro Plaza,M,Triangle/Plaza,Sitting Area/Triangle/Mall,2.3,11
M089,Union Square Park,M,Community Park,Neighborhood Park,6.51,10
M107,Wards Island Park,M,Recreational Field/Courts,Flagship Park,170.7,163
M308,Washington Market Park,M,Neighborhood Park,Neighborhood Plgd,2.15,2
M376,West Harlem Piers,M,Waterfront Facility,Sitting Area/Triangle/Mall,4.712,1
Q283,225 Street Malls,Q,Mall,Sitting Area/Triangle/Mall,0.402,6
Q285,Al Stabile Playground,Q,Jointly Operated Playground,JOP,0.494,1
Q262,Alameda Malls,Q,Mall,Sitting Area/Triangle/Mall,0.553,25
Q001A,Alley Athletic Playground,Q,Recreational Field/Courts,Large Park,27.531,2
Q001,Alley Pond Park,Q,Flagship Park,Large Park,635.514,547
Q051,Archie Spigner Park,Q,Community Park,Large Park,10.79,14
Q520,Arverne East Nature Preserve,Q,Nature Area,,32.86,16
Q004,Astoria Park,Q,Community Park,Large Park,59.956,46
Q005,Baisley Pond Park,Q,Community Park,Large Park,109.609,106
Q387E,Baybridge Green,Q,Strip,STRIP,0.316,5
Q007,Bayswater Park,Q,Community Park,Large Park,40.16,16
Q162J,Beach 17 Playground,Q,Neighborhood Park,Neighborhood Plgd,13.75,6
Q162H,Beach 30th Street Playground,Q,Neighborhood Park,Neighborhood Plgd,7.122,4
Q162J01,Beach 9 Playground,Q,Neighborhood Park,Neighborhood Plgd,4.863,1
Q268,Bell Malls,Q,Mall,Sitting Area/Triangle/Mall,1.652,47
Q096,Belt Parkway,Q,Parkway,EXWY,202.647,686
Q464,Brant Point Wildlife Sanctuary,Q,Nature Area,Large Park,19.693,1
Q467,Broad Channel American Park,Q,Recreational Field/Courts,Large Park,18.768,3
Q225,Broad Channel Veteran's Park,Q,Triangle/Plaza,Sitting Area/Triangle/Mall,0.565,1
Q008,Brookville Park,Q,Community Park,Large Park,89.946,47
Q316,Captain Dermody Triangle,Q,Triangle/Plaza,Sitting Area/Triangle/Mall,0.191,1
Q052,Captain Tilly Park,Q,Neighborhood Park,Large Park,9.16,5
Q386,Centreville Playground,Q,Neighborhood Park,Neighborhood Plgd,2.095,1
Q346,Challenge Playground,Q,Jointly Operated Playground,JOP,2.035,1
Q387D,Clearview's Tail,Q,Strip,Sitting Area/Triangle/Mall,0.012,1
Q190,Corporal Ruoff Square,Q,Triangle/Plaza,Sitting Area/Triangle/Mall,0.084,3
Q012,Crocheron Park,Q,Community Park,Large Park,45.79,6
Q135,Cross Island Parkway,Q,Parkway,PKWY,326.895,6038
Q021,Cunningham Park,Q,Flagship Park,Large Park,358,302
Q100A,Daniel Carter Beard Mall,Q,Triangle/Plaza,Sitting Area/Triangle/Mall,0.658,1
Q307,Delphin H. Greene Playground,Q,Jointly Operated Playground,JOP,2.8,1
Q121,Detective Keith L Williams Park,Q,Community Park,Large Park,7.683,1
Q493,Discovery Garden,Q,Garden,Greenthumb,0.294,1
Q411,Douglaston Park Golf Course,Q,Managed Sites,Large Park,104.6,10
Q459,Dubos Point Wildlife Sanctuary,Q,Nature Area,Large Park,53.298,7
Q040,Elmjack Mall,Q,Mall,Sitting Area/Triangle/Mall,0.241,13
Q099,Flushing Meadows Corona Park,Q,Flagship Park,Flagship Park,870.761,1046
Q015,Forest Park,Q,Flagship Park,Flagship Park,506.86,365
Q458,Fort Totten Park,Q,Neighborhood Park,Large Park,60.394,95
Q126,Francis Lewis Park,Q,Neighborhood Park,Large Park,16.831,4
Q098,Frank D. O'Connor Playground,Q,Neighborhood Park,Neighborhood Plgd,1.537,1
Q445,Frank Golden Park,Q,Neighborhood Park,Large Park,11.422,6
Q131,Frank Principe Park,Q,Community Park,Large Park,7.461,2
Q506,Gateway Park,Q,Neighborhood Park,Neighborhood Park,0.901,1
Q094D,Gemini Fields,Q,Recreational Field/Courts,Neighborhood Park,10.761,6
Q084,Grand Central Parkway,Q,Parkway,EXWY,160.415,1094
Q084A,Grand Central Parkway Extension,Q,Parkway,EXWY,233.073,2757
Q359,Haggerty Park,Q,Neighborhood Park,Neighborhood Plgd,3.867,1
Q226,Hallets Cove Playground,Q,Neighborhood Park,Neighborhood Park,5.84399754,5
Q089B,Harvey Park,Q,Community Park,Large Park,9.154,1
Q133B,Hempstead Bench Spread,Q,Triangle/Plaza,Sitting Area/Triangle/Mall,0.274,1
Q020,Highland Park,Q,Community Park,Large Park,101.28,26
Q440,Hilton Holiday Gardens,Q,Recreational Field/Courts,Undeveloped,1.2,1
Q410,Hinton Park,Q,Neighborhood Park,Neighborhood Park,3.735,1
Q360N,Hoffman Park,Q,Playground,Neighborhood Plgd,2.857,2
Q454,Hook Creek Park,Q,Nature Area,Large Park,111.163,12
Q220G,Hoover - Manton Playgrounds,Q,Neighborhood Park,Neighborhood Plgd,5.2,6
Q471,Hunter's Point South Park,Q,Neighborhood Park,Neighborhood Park,22.809,28
Q392,Idlewild Park,Q,Nature Area,Large Park,180.85,26
Q134,Jack Breininger Park,Q,Neighborhood Park,Neighborhood Plgd,3.4,2
Q083,Jackie Robinson Parkway,Q,Parkway,EXWY,72.75,427
Q309,Jamaica Bay Park,Q,Nature Area,Large Park,149.54,19
Q065,John Vincent Daniels Jr. Square,Q,Triangle/Plaza,Sitting Area/Triangle/Mall,0.254,4
Q102,Juniper Valley Park,Q,Community Park,Large Park,55.639,39
Q300,Kissena Corridor Park,Q,Community Park,Large Park,100.873,123
Q300A,Kissena Corridor Park,Q,Community Park,Large Park,45.937,189
Q024,Kissena Park,Q,Community Park,Large Park,237.147,36
